,prob,r
s1,0.016,0.1
s2,0.005,0.2
s3,0.005,0.3
s4,0.004,0.4
s5,0.006,0.5
s6,0.011,0.6
s7,0.034,0.7
s8,0.110,0.8
s9,0.114,0.9
s10,0.150,1
s11,0.282,1.1
s12,0.145,1.2
s13,0.055,1.3
s14,0.026,1.4
s15,0.015,1.5
s16,0.007,1.6
s17,0.004,1.7
s18,0.002,1.8
s19,0.001,1.9
s20,0.008,2
